id;url;twitterUrl;text;likeCount;retweetCount;replyCount;quoteCount;createdAt;author.url;author.twitterUrl;author.id;author.name;author.userName;author.followers;author.following;author.profile_bio.description;author.createdAt;category1;score1;category2;score2;suggested_new_category;explanation;cop;lang;categories;credibility_score;evaluation_explanation
1455410100944969728;https://x.com/Reuters/status/1455410100944969728;https://twitter.com/Reuters/status/1455410100944969728;The Federal Reserve trails other major central banks in tackling climate change, even as Biden pledges a ‘whole of government’ approach and fights to salvage his climate agenda as global leaders meet at #COP26 to hash out responses to rising temperatures https://t.co/8F8g4Ov9uG https://t.co/Py79LZYh30;41;12;11;3;2021-11-02;https://x.com/Reuters;https://twitter.com/Reuters;1652541.0;Reuters;Reuters;25582355;1196;Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: https://t.co/KO0QFy0d3a;Tue Mar 20 17:46:05 +0000 2007;Finance;0.8;Characterization of the COP Event;0.6;;Tweet discusses financial aspect (Federal Reserve's approach to climate change) and mentions COP26, indicating characterization.;26;en;Finance;;
1455410100944969728;https://x.com/Reuters/status/1455410100944969728;https://twitter.com/Reuters/status/1455410100944969728;The Federal Reserve trails other major central banks in tackling climate change, even as Biden pledges a ‘whole of government’ approach and fights to salvage his climate agenda as global leaders meet at #COP26 to hash out responses to rising temperatures https://t.co/8F8g4Ov9uG https://t.co/Py79LZYh30;41;12;11;3;2021-11-02;https://x.com/Reuters;https://twitter.com/Reuters;1652541.0;Reuters;Reuters;25582355;1196;Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: https://t.co/KO0QFy0d3a;Tue Mar 20 17:46:05 +0000 2007;Finance;0.8;Characterization of the COP Event;0.6;;Tweet discusses financial aspect (Federal Reserve's approach to climate change) and mentions COP26, indicating characterization.;26;en;Characterization of the COP Event;;
1455385175584432133;https://x.com/UNICEF/status/1455385175584432133;https://twitter.com/UNICEF/status/1455385175584432133;"There is HOPE. But, we need ACTION. 

UNICEF is calling on world leaders at #COP26 to formally include young people in all climate negotiations and decisions. @voicesofyouth https://t.co/NrRyXg4fy7";353;92;10;2;2021-11-02;https://x.com/UNICEF;https://twitter.com/UNICEF;33933259.0;UNICEF;UNICEF;9199433;811;UNICEF works in over 190 countries and territories to protect children's rights. We won't stop, #ForEveryChild.;Tue Apr 21 15:16:12 +0000 2009;Emergency Measures;0.8;Characterization of the COP Event;0.6;;"Tweet calls for action and includes UNICEF's involvement in COP26 negotiations, suggesting Emergency Measures and Characterization of the COP Event; No bio provided, categorization based on tweet content.";26;en;Emergency Measures;;
1455385175584432133;https://x.com/UNICEF/status/1455385175584432133;https://twitter.com/UNICEF/status/1455385175584432133;"There is HOPE. But, we need ACTION. 

UNICEF is calling on world leaders at #COP26 to formally include young people in all climate negotiations and decisions. @voicesofyouth https://t.co/NrRyXg4fy7";353;92;10;2;2021-11-02;https://x.com/UNICEF;https://twitter.com/UNICEF;33933259.0;UNICEF;UNICEF;9199433;811;UNICEF works in over 190 countries and territories to protect children's rights. We won't stop, #ForEveryChild.;Tue Apr 21 15:16:12 +0000 2009;Emergency Measures;0.8;Characterization of the COP Event;0.6;;"Tweet calls for action and includes UNICEF's involvement in COP26 negotiations, suggesting Emergency Measures and Characterization of the COP Event; No bio provided, categorization based on tweet content.";26;en;Characterization of the COP Event;;
1455379135644127235;https://x.com/Reuters/status/1455379135644127235;https://twitter.com/Reuters/status/1455379135644127235;We have had enough of hot air, we have had enough of empty promises, what we need is concrete actions to address the climate crisis,' said Oxfam climate policy lead Nafkote Dabi as world leaders converge in Glasgow for the #COP26 climate summit https://t.co/od0TI2ioze;109;33;12;4;2021-11-02;https://x.com/Reuters;https://twitter.com/Reuters;1652541.0;Reuters;Reuters;25582355;1196;Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: https://t.co/KO0QFy0d3a;Tue Mar 20 17:46:05 +0000 2007;Climate Crisis;0.8;Emergency Measures;0.6;;"Tweet content discusses the need for concrete actions to address the climate crisis, aligning with Climate Crisis and Emergency Measures categories; Bio provides context as a news source but does not directly influence categorization.";26;en;Climate Crisis;;
1455379135644127235;https://x.com/Reuters/status/1455379135644127235;https://twitter.com/Reuters/status/1455379135644127235;We have had enough of hot air, we have had enough of empty promises, what we need is concrete actions to address the climate crisis,' said Oxfam climate policy lead Nafkote Dabi as world leaders converge in Glasgow for the #COP26 climate summit https://t.co/od0TI2ioze;109;33;12;4;2021-11-02;https://x.com/Reuters;https://twitter.com/Reuters;1652541.0;Reuters;Reuters;25582355;1196;Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: https://t.co/KO0QFy0d3a;Tue Mar 20 17:46:05 +0000 2007;Climate Crisis;0.8;Emergency Measures;0.6;;"Tweet content discusses the need for concrete actions to address the climate crisis, aligning with Climate Crisis and Emergency Measures categories; Bio provides context as a news source but does not directly influence categorization.";26;en;Emergency Measures;;
1455335095477358592;https://x.com/Reuters/status/1455335095477358592;https://twitter.com/Reuters/status/1455335095477358592;WARNING: STRONG LANGUAGE - Teenage climate activist @GretaThunberg said that the politicians gathered at the #COP26 U.N. climate summit are ‘pretending’ to take people's futures seriously and that the gathering of world leaders would not create change https://t.co/3xcaZwsei0 https://t.co/s62aWRapOU;3107;643;379;475;2021-11-02;https://x.com/Reuters;https://twitter.com/Reuters;1652541.0;Reuters;Reuters;25582356;1196;Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: https://t.co/KO0QFy0d3a;Tue Mar 20 17:46:05 +0000 2007;Protest;0.8;Characterization of the COP Event;0.6;;"Tweet includes strong language and criticism of COP26, aligning with Protest category; Reuters as source adds weight to Characterization.";26;en;Protest;;
1455335095477358592;https://x.com/Reuters/status/1455335095477358592;https://twitter.com/Reuters/status/1455335095477358592;WARNING: STRONG LANGUAGE - Teenage climate activist @GretaThunberg said that the politicians gathered at the #COP26 U.N. climate summit are ‘pretending’ to take people's futures seriously and that the gathering of world leaders would not create change https://t.co/3xcaZwsei0 https://t.co/s62aWRapOU;3107;643;379;475;2021-11-02;https://x.com/Reuters;https://twitter.com/Reuters;1652541.0;Reuters;Reuters;25582356;1196;Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: https://t.co/KO0QFy0d3a;Tue Mar 20 17:46:05 +0000 2007;Protest;0.8;Characterization of the COP Event;0.6;;"Tweet includes strong language and criticism of COP26, aligning with Protest category; Reuters as source adds weight to Characterization.";26;en;Characterization of the COP Event;;
1455318737620328451;https://x.com/Reuters/status/1455318737620328451;https://twitter.com/Reuters/status/1455318737620328451;Oxfam said it was vital that world leaders come up with an action and not just 'hot air' at #COP26, as activists from the British charity dressed in kilts and held bagpipes featuring leaders of the highest-emitting nations https://t.co/R9guduf5ZL;94;35;10;4;2021-11-01;https://x.com/Reuters;https://twitter.com/Reuters;1652541.0;Reuters;Reuters;25582547;1196;Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: https://t.co/KO0QFy0d3a;Tue Mar 20 17:46:05 +0000 2007;Protest;0.8;Characterization of the COP Event;0.6;;"Tweet mentions activists' actions at #COP26, aligning with Protest category; Reuters bio indicates news coverage relevant to Characterization.";26;en;Protest;;
1455318737620328451;https://x.com/Reuters/status/1455318737620328451;https://twitter.com/Reuters/status/1455318737620328451;Oxfam said it was vital that world leaders come up with an action and not just 'hot air' at #COP26, as activists from the British charity dressed in kilts and held bagpipes featuring leaders of the highest-emitting nations https://t.co/R9guduf5ZL;94;35;10;4;2021-11-01;https://x.com/Reuters;https://twitter.com/Reuters;1652541.0;Reuters;Reuters;25582547;1196;Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: https://t.co/KO0QFy0d3a;Tue Mar 20 17:46:05 +0000 2007;Protest;0.8;Characterization of the COP Event;0.6;;"Tweet mentions activists' actions at #COP26, aligning with Protest category; Reuters bio indicates news coverage relevant to Characterization.";26;en;Characterization of the COP Event;;
